startup_name,industry,original_ask_amount,total_deal_amount,number_of_sharks_in_deal,total_deal_equity,number_of_presenters,funded_flag
IsakFragrances,Beauty/Fashion,50.0,50.0,1.0,50.0,1,True
JulaaAutomation,Manufacturing,50.0,,,,3,False
RarePlanet,Manufacturing,65.0,65.0,1.0,3.0,2,True
ThekaCoffee,Food and Beverage,50.0,,,,1,False
WattTechnovations,Medical/Health,0.00101,0.00101,4.0,4.0,1,True
AlisteTechnologies,Technology/Software,60.0,,,,6,False
InsuranceSamadhan,Business Services,100.0,100.0,1.0,4.0,3,True
HumpyA2,Food and Beverage,75.0,100.0,3.0,15.0,3,True
KunafaWorld,Food and Beverage,90.0,,,,2,False
GoldSafeSolutions,Manufacturing,50.0,50.0,3.0,30.0,2,True
WakaoFoods,Food and Beverage,75.0,75.0,3.0,21.0,1,True
PDDFalcon,Manufacturing,75.0,,,,2,False
PlayBoxTV,Business Services,100.0,,,,2,False
Sippline,Manufacturing,75.0,,,,1,False
KabaddiAdda,Fitness/Sports/Outdoors,80.0,80.0,2.0,6.0,2,True
ShadesofSpring,Business Services,300.0,,,,2,False
Scholify,Children/Education,50.0,,,,1,False
Scrapshala,Manufacturing,50.0,,,,2,False
Sabjikothi,Manufacturing,60.0,,,,2,False
AyuRythm,Medical/Health,75.0,75.0,1.0,2.68,3,True
Astrix,Manufacturing,75.0,,,,2,False
TheaAndSid,Business Services,80.0,,,,2,False
ExperentialEtc,Technology/Software,200.0,,,,2,False
GrowFitter,Technology/Software,50.0,50.0,1.0,2.0,2,True
C3Med-Tech,Medical/Health,35.0,,,,2,False
ColourMeMad-CMM,Beauty/Fashion,40.0,40.0,1.0,25.0,2,True
Mavi's,Food and Beverage,40.0,,,,2,False
TweekLabs,Fitness/Sports/Outdoors,40.0,60.0,3.0,10.0,4,True
Proxgy,Technology/Software,35.0,100.0,2.0,10.0,2,True
NomadFoodProject,Food and Beverage,40.0,40.0,4.0,20.0,2,True
TweeInOne,Beauty/Fashion,30.0,,,,1,False
GreenProtein,Food and Beverage,60.0,,,,2,False
On2Cook,Food and Beverage,100.0,,,,1,False
JainShikanji,Food and Beverage,40.0,40.0,4.0,30.0,1,True
Woloo,Technology/Software,50.0,,,,3,False
ElcareIndia,Medical/Health,100.0,,,,3,False
SneaKare,Beauty/Fashion,20.0,21.0,3.0,12.0,1,True
FrenchCrown,Beauty/Fashion,150.0,,,,2,False
StoreMyGoods,Business Services,100.0,50.0,2.0,4.0,3,True
Devnagri,Technology/Software,100.0,,,,2,False
WitBlox,Manufacturing,60.0,60.0,2.0,10.0,2,True
